"value","bin","mean","sd","sem"
52,8,0.0156297438192755,0.0364083611964748,0.000360478823727473
52,9,0.00623409531899015,0.00924941545080101,9.157837080001e-05
52,10,0.00678769861000234,0.0126811508105264,0.000125555948619073
53,0,0.0183293246786827,0.0342291595366229,0.000338902569669533
53,1,0.0184410837148635,0.0391003390214759,0.000387132069519563
53,2,0.0266075850641398,0.0563200141481837,0.000557623902457264
53,3,0.151160705805883,0.072914208991478,0.000721922861301762
53,4,0.152065557972287,0.0634945191650038,0.000628658605594097
53,5,0.180023115087257,0.0769425743582031,0.000761807666912902
53,6,0.179661234439972,0.0684006117674856,0.000677233779876095
53,7,0.133325961895309,0.0528298824438094,0.000523068143008014
53,8,0.0955281802316222,0.0344361810823038,0.000340952287943602
53,9,0.022962745436954,0.0378204748900747,0.000374460147426482
53,10,0.0218945056730297,0.0374589110189952,0.000370880307118764
54,0,0.0131364251082721,0.0343732562700488,0.000340329270000483
54,1,0.0443099587287348,0.0660619605349482,0.000654078817177705
54,2,0.0408056060666196,0.0628561616742603,0.000622338234398617
54,3,0.0386461840907775,0.0637203701464394,0.000630894753925143
