"id";"itemTime";"trialnumber";"kind";"expression";"access";"observation";"state";"RT";"language";"comments";"engagement";"difficulty"
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";5;"c";"poss";6;2;NA;12134;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";6;"f";"cerNot";NA;NA;5;6533;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";7;"c";"cerNot";5;0;NA;12129;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";8;"f";"prob";NA;NA;5;14038;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";9;"c";"prob";5;1;NA;13316;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";10;"f";"poss";NA;NA;5;3260;"English";NA;8;5
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";1;"c";"probNot";6;4;NA;8187;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";2;"f";"cer";NA;NA;5;5591;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";3;"c";"poss";5;3;NA;10418;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";4;"f";"probNot";NA;NA;5;9300;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";5;"c";"cer";5;0;NA;10624;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";6;"f";"prob";NA;NA;5;5005;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";7;"c";"cerNot";5;5;NA;6880;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";8;"f";"cerNot";NA;NA;5;5645;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";9;"c";"prob";5;2;NA;5718;"English";"I enjoyed it!";9;4
"f33ad5a6f0afd45b57c34cca438a2ece2cb0f52dda1fcad54ae2bbd91ece3fd6";"1,48E+12";10;"f";"poss";NA;NA;5;4154;"English";"I enjoyed it!";9;4
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";1;"c";"cerNot";6;1;NA;45964;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";2;"f";"prob";NA;NA;6;15441;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";3;"c";"probNot";7;3;NA;14735;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";4;"f";"poss";NA;NA;6;7504;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";5;"c";"prob";6;2;NA;22413;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";6;"f";"cer";NA;NA;9;8811;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";7;"c";"poss";7;2;NA;7766;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";8;"f";"probNot";NA;NA;2;6626;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";9;"c";"cer";9;1;NA;10686;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"887fffce015425a28e531791c58728a3992e9f5d6cb12ea945611d13a01e7b94";"1,48E+12";10;"f";"cerNot";NA;NA;1;7693;"A1F9KLZGHE9DTA";"Thanks for the HIT!  I did my best and hope the data is useful!";7;7
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";1;"c";"cer";8;3;NA;54400;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";2;"f";"cer";NA;NA;5;18572;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";3;"c";"probNot";7;3;NA;46967;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";4;"f";"poss";NA;NA;5;14128;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";5;"c";"cerNot";6;5;NA;19832;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";6;"f";"probNot";NA;NA;3;60614;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";7;"c";"poss";6;3;NA;47789;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";8;"f";"prob";NA;NA;5;28911;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";9;"c";"prob";6;3;NA;16288;"English";NA;9;5
"3983badc3eddb343f76aed0adae1ce3ea8a22681f1b70b4f46170edb13ad49c9";"1,48E+12";10;"f";"cerNot";NA;NA;0;11226;"English";NA;9;5
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";1;"c";"probNot";6;4;NA;33729;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";2;"f";"probNot";NA;NA;4;22769;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";3;"c";"cerNot";7;7;NA;26371;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";4;"f";"cerNot";NA;NA;3;6936;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";5;"c";"prob";6;2;NA;17548;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";6;"f";"prob";NA;NA;6;5855;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";7;"c";"poss";4;2;NA;14945;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";8;"f";"cer";NA;NA;5;6809;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";9;"c";"cer";6;1;NA;10402;"English";"N/A";9;7
"ab10caae76d0f468e6c43bca1ec01ad77eaefa95bad6c0c5fb6a6cd867b7b9b6";"1,48E+12";10;"f";"poss";NA;NA;5;5847;"English";"N/A";9;7
"047b89daaf27e34cf147b26d48a91ca17e15f5838e33606081f6067841bee86d";"1,48E+12";1;"c";"probNot";4;3;NA;17823;"english";NA;4;10
