"id","itemTime","trialnumber","kind","expression","access","observation","state","RT","language","comments","engagement","difficulty"
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204971328,18,"f","isLik",NA,NA,5,3108,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204980446,19,"c","mightUnlik",7,3,NA,9115,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204983476,20,"f","probLik",NA,NA,4,3028,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204992356,21,"c","cerUnlik",6,1,NA,8879,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204994129,22,"f","probPos",NA,NA,3,1772,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204998959,23,"c","isLik",6,4,NA,4827,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480205001626,24,"f","cerUnlik",NA,NA,7,2662,"English","Nice study!",8,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234627108,1,"c","isPos",6,3,NA,15953,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234645836,2,"f","cerUnlik",NA,NA,5,18724,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234654550,3,"c","isLik",5,5,NA,8711,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234662218,4,"f","mightUnlik",NA,NA,5,7665,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234674765,5,"c","isUnlik",5,4,NA,12545,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234680627,6,"f","isLik",NA,NA,5,5856,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234694646,7,"c","mightLik",5,2,NA,14016,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234697999,8,"f","isPos",NA,NA,5,3350,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234720597,9,"c","cerPos",6,3,NA,22594,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234725249,10,"f","cerLik",NA,NA,5,4649,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234751584,11,"c","cerUnlik",9,9,NA,26332,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234755474,12,"f","probUnlik",NA,NA,9,3887,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234768622,13,"c","probPos",7,3,NA,13144,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234773057,14,"f","cerPos",NA,NA,5,4433,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234785497,15,"c","mightPos",6,3,NA,12437,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234788475,16,"f","probPos",NA,NA,5,2974,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234801653,17,"c","probLik",7,0,NA,13176,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234805304,18,"f","probLik",NA,NA,5,3648,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234817887,19,"c","cerLik",8,7,NA,12580,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234823786,20,"f","mightPos",NA,NA,5,5896,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234837536,21,"c","probUnlik",7,5,NA,13747,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234840266,22,"f","isUnlik",NA,NA,5,2727,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234850491,23,"c","mightUnlik",6,4,NA,10222,"ENGLISH","i think I screwed up the math quite a bit",3,6
"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6",1480234855871,24,"f","mightLik",NA,NA,5,5378,"ENGLISH","i think I screwed up the math quite a bit",3,6
"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc",1480202117521,1,"c","probLik",4,2,NA,68165,"english","no",10,7
